,text,labels
343,['******* Сбербанк'],Реквизиты
596,Сейчас карты нет,Реквизиты
1604,['Ну че розыгрыш не делаете'],Акции / Скидки
1041,['вы мне сумму так и написали'],Сумма
424,['******* Сбербанк'],Реквизиты
1954,"Доставка почтой 300 рублей, оплата при получении (почта дополнительно берет от 3 до 5% за перевод денег) либо на карту Сбербанка перед отправкой (получение без доп.оплат). Как Вам удобнее?",Способы оплаты
1588,['А стоимости ? Сейчас у вас скидки на все ?'],Акции / Скидки
101,['Оплату 300 за почту на карту так устроит'],Статус оплаты
1940,"Посчитаете нам , я оплачу через карту",Способы оплаты
1832,Способ оплаты: Банковской картой,Способы оплаты
1117,['вы мне сумму и написали ?'],Сумма
299,только что перевела деньги,Статус оплаты
1782,Можно на карту перевести,Способы оплаты
669,"['давайте сейчас решим , а то завтра не ответить']",Инцидент
151,"['Хорошо , оплачу']",Статус оплаты
1295,['вы мне сумму так написали ?'],Сумма
1834,Оплата при получении на почте,Способы оплаты
1900,Как оплатить ?,Способы оплаты
656,Номер карты получателя: ,Реквизиты
734,['давайте сейчас решим а то завтра не смогу ответить'],Инцидент
6,['Оплату 300 за почту карту скину так устроит'],Статус оплаты
1405,['по стоимости ? Сейчас у вас скидки на все ?'],Акции / Скидки
1745,"Да,да)))я буду оплачивать на карту",Способы оплаты
1074,"['При , сколько получится сумма ?']",Сумма
1575,['Ну розыгрыш не делаете ?'],Акции / Скидки
1159,"['При получении , получится сумма ?']",Сумма
1033,['мне сумму так и написали ?'],Сумма
879,"['давайте сейчас решим , то завтра не смогу ответить']",Инцидент
1314,"Напишите сумму , пожалуйста",Сумма
491,"['На карту сбербанка . Напишите реквизиты , пожалуйста :']",Реквизиты
1420,['А по стоимости ? Сейчас у вас скидки все ?'],Акции / Скидки
853,['Вы обещали вернуть 300 р. на карту . Номер карты : 4072 3408'],Инцидент
506,['******* Сбербанк'],Реквизиты
1008,"['При получении , сколько сумма ?']",Сумма
1224,"['получении , сколько получится сумма ?']",Сумма
1144,"['получении , сколько получится сумма ?']",Сумма
1949,"Да ,данные те же, оплачу при получении. Спасибо.",Способы оплаты
1107,['мне сумму так и написали ?'],Сумма
422,['******* ? ?'],Реквизиты
1044,"['При получении , сколько получится сумма']",Сумма
1718,как оплатить это .Или все приходит новой почтой и оплачивается через курьера ?,Способы оплаты
1703,А после получения на карту нельзя?,Способы оплаты
1927,Оплата при получении на почте,Способы оплаты
1166,['При получении сколько получится сумма ?'],Сумма
1106,"['получении , сколько получится сумма ?']",Сумма
1892,Тогда картой,Способы оплаты
1421,['Ну че розыгрыш делаете ?'],Акции / Скидки
1212,"['При получении , получится сумма ?']",Сумма
873,"['давайте сейчас решим , то завтра не смогу ответить']",Инцидент
1649,присылайте список призов,Акции / Скидки
1359,['че розыгрыш не делаете ?'],Акции / Скидки
1089,['вы мне сумму так и ?'],Сумма
906,['Вы обещали 300 р. на карту . Номер карты : 4072 3408 92'],Инцидент
225,"Я вам его обратно с чеком пришлю с почты, чтоб вы знали, что оплачено)",Статус оплаты
723,['Вы вернуть 300 р. на карту . Номер карты : 4072 3408 92'],Инцидент
1264,['вы мне сумму так написали ?'],Сумма
254,"*** , доброе утро ! деньги перевела на карту . от ******* ********* * .",Статус оплаты
1578,['А по стоимости ? Сейчас у скидки на все ?'],Акции / Скидки
1847,Оплату мне произвести или на кого отправите?,Способы оплаты
1597,['А по стоимости ? Сейчас у вас на все ?'],Акции / Скидки
1527,['по стоимости ? Сейчас у вас скидки на все ?'],Акции / Скидки
1638,['че розыгрыш не делаете ?'],Акции / Скидки
1466,['Ну че розыгрыш не делаете'],Акции / Скидки
260,Юля сегодня дали деньг. Я завтра оплачу,Статус оплаты
1450,['А по стоимости ? Сейчас у вас скидки на ?'],Акции / Скидки
557,['******* Сбербанк'],Реквизиты
1910,Оплата картой,Способы оплаты
924,"['сейчас решим , а то завтра не смогу ответить']",Инцидент
1539,['Ну розыгрыш не делаете ?'],Акции / Скидки
1197,['вы мне сумму так и написали'],Сумма
1034,['вы мне так и написали ?'],Сумма
1357,['Ну розыгрыш не делаете ?'],Акции / Скидки
893,"['давайте сейчас решим , то завтра не смогу ответить']",Инцидент
140,"['Хорошо , оплачу']",Статус оплаты
1050,['вы мне так и написали ?'],Сумма
1946,И оплата сразу или при получении?,Способы оплаты
570,['******* Сбербанк'],Реквизиты
889,"['давайте сейчас решим , а то завтра смогу ответить']",Инцидент
1942,Я забыла.... Оплата сразу или при получении?,Способы оплаты
1678,НА КАРТУ ОПЛАТА,Способы оплаты
1860,Я при получении на почте,Способы оплаты
1831,"Если вам на карту, то получается дешевле. да?",Способы оплаты
650,Оплата так же на карту Сбербанк,Реквизиты
91,"['Хорошо , сейчас']",Статус оплаты
534,"['На карту сбербанка Напишите реквизиты , пожалуйста : ) ) )']",Реквизиты
1436,['А по ? Сейчас у вас скидки на все ?'],Акции / Скидки
1530,['Ну че розыгрыш не делаете'],Акции / Скидки
1449,['Ну че розыгрыш не ?'],Акции / Скидки
1657,А мы не попадем под скидку ?,Акции / Скидки
1913,мне удобнее оплатить на карту,Способы оплаты
1818,Я решила оплатить заказ по почте при получении.,Способы оплаты
1192,"['При получении , сколько получится сумма']",Сумма
1625,['А по стоимости ? у вас скидки на все ?'],Акции / Скидки
1670,Оплата на почте ?,Способы оплаты
1085,['вы мне сумму так написали ?'],Сумма
563,"['На карту сбербанка . Напишите реквизиты , пожалуйста ) ) )']",Реквизиты
64,['Оплату 300 за почту на карту скину так'],Статус оплаты
469,"['На карту . Напишите реквизиты , пожалуйста : ) ) )']",Реквизиты
943,"['давайте сейчас решим , а то завтра не смогу']",Инцидент
268,"Мне оплатить, когда отправлять будете ?!)",Статус оплаты
549,['******* Сбербанк'],Реквизиты
409,['******* Сбербанк'],Реквизиты
1215,['вы сумму так и написали ?'],Сумма
1642,['по стоимости ? Сейчас у вас скидки на все ?'],Акции / Скидки
1803,"напишете перед отправкой , оплачу по карте",Способы оплаты
1298,"['При получении , сколько получится сумма']",Сумма
219,Спасибо ! Сейчас перечислю ) ),Статус оплаты
1219,['вы мне сумму так и ?'],Сумма
438,['******* Сбербанк'],Реквизиты
1100,"['При , сколько получится сумма ?']",Сумма
1233,"['получении , сколько получится сумма ?']",Сумма
813,"['давайте сейчас решим , а то завтра смогу ответить']",Инцидент
480,['******* Сбербанк'],Реквизиты
1444,['А по стоимости ? Сейчас у вас скидки на ?'],Акции / Скидки
1634,['Ну че не делаете ?'],Акции / Скидки
5,['300 за почту на карту скину так устроит'],Статус оплаты
1386,['А по стоимости Сейчас у вас скидки на все'],Акции / Скидки
138,"['Хорошо , сейчас']",Статус оплаты
1747,Тогда картой,Способы оплаты
691,"['давайте сейчас решим , то завтра не смогу ответить']",Инцидент
1014,"['При получении , сколько получится ?']",Сумма
1885,А можно будет оплатить на почте? ,Способы оплаты
525,"['На карту сбербанка . Напишите , пожалуйста : ) ) )']",Реквизиты
1957,Получается 1550? А наложенным платежом можно?,Способы оплаты
1544,['А по стоимости ? Сейчас у вас скидки все ?'],Акции / Скидки
68,['Оплату 300 за почту на карту так устроит'],Статус оплаты
1793,При получении,Способы оплаты
472,['******* ? ?'],Реквизиты
1953,"Могу и на карту , хоть сейчас",Способы оплаты
867,['Вы обещали вернуть 300 р. на карту . Номер карты : 4072 3408'],Инцидент
331,сейчас закину на карту себе и сделаю перевод:),Статус оплаты
1479,['А по стоимости ? Сейчас вас скидки на все ?'],Акции / Скидки
113,['Оплату за почту на карту скину так устроит'],Статус оплаты
1296,['вы мне сумму так написали ?'],Сумма
599,Карта СберБанка обычно имеет номер такого формата: 6761 9600 1858 6035... 4 цифры 4 раза. Вы не ошиблись?,Реквизиты
351,"['На сбербанка . Напишите реквизиты , пожалуйста : ) ) )']",Реквизиты
234,"Привет, сестра! Извини сегодня целый день без интернета, да деньги приходили 1670, сейчас переведу 2840 рублей",Статус оплаты
1278,['вы мне сумму и написали ?'],Сумма
1569,['А по ? Сейчас у вас скидки на все ?'],Акции / Скидки
1683,А как мне выкупить ?,Способы оплаты
698,"['давайте сейчас решим , а то не смогу ответить']",Инцидент
1121,['вы мне сумму и написали ?'],Сумма
363,['******* Сбербанк'],Реквизиты
94,"['Хорошо , сейчас']",Статус оплаты
726,['Вы обещали вернуть 300 р. карту . Номер карты : 4072 3408 92'],Инцидент
1095,"['При получении , сколько получится сумма']",Сумма
641,Номер карты получателя: ,Реквизиты
24,"['Хорошо , оплачу']",Статус оплаты
553,['? Сбербанк ?'],Реквизиты
1959,Когда и куда отправлять деньги? Есть ли гарантия,Способы оплаты
1905,На яд или сбер оплата?,Способы оплаты
1289,['При получении сколько получится сумма ?'],Сумма
1453,['че розыгрыш не делаете ?'],Акции / Скидки
372,"['На карту сбербанка . Напишите реквизиты , пожалуйста ) ) )']",Реквизиты
1105,['вы мне сумму так написали ?'],Сумма
1482,['А по стоимости Сейчас у вас скидки на все'],Акции / Скидки
393,['? Сбербанк ?'],Реквизиты
1567,['Ну че розыгрыш не ?'],Акции / Скидки
649,"Давайте я на карту переведу ,пришлите номер",Реквизиты
1029,"['получении , сколько получится сумма ?']",Сумма
1840,При получении ...,Способы оплаты
1601,['Ну розыгрыш не делаете ?'],Акции / Скидки
1945,Оплачу по  карте. Заранее спасибо,Способы оплаты
1000,"['При , сколько получится сумма ?']",Сумма
1753,Оплату 300 за почту на карту скину так устроит,Способы оплаты
1151,['вы мне сумму так и ?'],Сумма
934,"['давайте сейчас решим , а завтра не смогу ответить']",Инцидент
607,"Ок , завтра постараюсь оплатить . На ту же карту ?",Реквизиты
508,['******* Сбербанк'],Реквизиты
1807,При получении на почте,Способы оплаты
1198,"['При получении , сколько получится сумма']",Сумма
701,['Вы обещали вернуть 300 р. карту . Номер карты : 4072 3408 92'],Инцидент
1110,['мне сумму так и написали ?'],Сумма
1073,['мне сумму так и написали ?'],Сумма
476,"['На карту сбербанка . Напишите реквизиты , пожалуйста ) ) )']",Реквизиты
79,['Хорошо сейчас оплачу'],Статус оплаты
297,"Понял, но там 500р. сейчас.",Статус оплаты
298,"Хорошо , завтра оплачу",Статус оплаты
697,['Вы обещали вернуть 300 р. на карту . карты : 4072 3408 92'],Инцидент
447,['? Сбербанк ?'],Реквизиты
1451,['А по ? Сейчас у вас скидки на все ?'],Акции / Скидки
566,['******* ? ?'],Реквизиты
836,"['давайте сейчас решим , а то не смогу ответить']",Инцидент
908,['давайте сейчас решим а то завтра не смогу ответить'],Инцидент
1287,"['При получении , сколько получится ?']",Сумма
1655,"ну и акции там тоже посмотрите , может , они уже есть ) ) )",Акции / Скидки
241,Оплату когда произвести? Сегодня или во вторник?,Статус оплаты
236,Об оплате напишите)),Статус оплаты
1690,"А оплата как у вас производится? Сразу после заказа, или при получении?",Способы оплаты
233,Хорошо сейчас отправлю,Статус оплаты
1481,['Ну че розыгрыш не делаете'],Акции / Скидки
1853,Оплата сразу или при получении на почте?,Способы оплаты
277,"Блин,скриншот уже не получится :-(ну ждите когда придут тогда, я с той же карты отправлял что и вчера.",Статус оплаты
1846,"Мне удобнее будет оплатить на почте. Вы мне напишите, как отправителя заказ.",Способы оплаты
1456,['по стоимости ? Сейчас у вас скидки на все ?'],Акции / Скидки
576,Дайте карту,Реквизиты
749,"['давайте решим , а то завтра не смогу ответить']",Инцидент
1667,Давайте картой,Способы оплаты
1463,['А по стоимости ? Сейчас у вас на все ?'],Акции / Скидки
487,['******* ? ?'],Реквизиты
521,"['На карту сбербанка Напишите реквизиты , пожалуйста : ) ) )']",Реквизиты
161,"['Хорошо , сейчас']",Статус оплаты
1935,"И как с оплатой,при получении или с пред оплатой?",Способы оплаты
903,"['давайте сейчас , а то завтра не смогу ответить']",Инцидент
694,"['давайте сейчас решим , а то не смогу ответить']",Инцидент
344,['? Сбербанк ?'],Реквизиты
665,['Вы обещали вернуть 300 р. карту . Номер карты : 4072 3408 92'],Инцидент
1013,"['При получении , сколько получится сумма']",Сумма
768,['Вы вернуть 300 р. на карту . Номер карты : 4072 3408 92'],Инцидент
179,['Оплату за почту на карту скину так устроит'],Статус оплаты
1881,"Да , пришлете ? Наложенный платеж если можно .",Способы оплаты
155,"[', сейчас оплачу']",Статус оплаты
1091,['вы мне так и написали ?'],Сумма
894,"['давайте сейчас решим , а то не смогу ответить']",Инцидент
84,['Оплату за почту на карту скину так устроит'],Статус оплаты
1470,['А по стоимости Сейчас у вас скидки на все'],Акции / Скидки
381,['******* Сбербанк'],Реквизиты
708,['Вы обещали вернуть 300 р. на карту . Номер карты 4072 3408 92'],Инцидент
152,"['Хорошо , оплачу']",Статус оплаты
160,['Оплату 300 за почту на карту скину так'],Статус оплаты
141,['Оплату 300 за почту на карту скину устроит'],Статус оплаты
758,['Вы обещали вернуть 300 р. на карту . Номер карты : 4072 3408'],Инцидент
1339,['А стоимости ? Сейчас у вас скидки на все ?'],Акции / Скидки
1872,Оплата через карту,Способы оплаты
610,на какой кошелек будет оплата ?,Реквизиты
1062,"['При получении , сколько сумма ?']",Сумма
259,Только что перевела ****,Статус оплаты
532,"['На карту сбербанка . Напишите реквизиты , пожалуйста :']",Реквизиты
1097,"['При , сколько получится сумма ?']",Сумма
801,"['давайте решим , а то завтра не смогу ответить']",Инцидент
310,Как придет напишете,Статус оплаты
125,"['Хорошо , сейчас']",Статус оплаты
1418,['по стоимости ? Сейчас у вас скидки на все ?'],Акции / Скидки
371,['******* Сбербанк'],Реквизиты
936,"['давайте сейчас решим , а то завтра не смогу']",Инцидент
756,['Вы обещали 300 р. на карту . Номер карты : 4072 3408 92'],Инцидент
1342,['че розыгрыш не делаете ?'],Акции / Скидки
612,Номер карты получателя:•••• 0351,Реквизиты
1839,оплата банковской картой ,Способы оплаты
11,['300 за почту на карту скину так устроит'],Статус оплаты
1620,['А по стоимости ? Сейчас у скидки на все ?'],Акции / Скидки
642,Здравствуйте! Вы указали номер лицевого счёта карты?,Реквизиты
1328,['Ну че не делаете ?'],Акции / Скидки
1610,['А по стоимости Сейчас у вас скидки на все'],Акции / Скидки
544,"['На карту сбербанка Напишите реквизиты , пожалуйста : ) ) )']",Реквизиты
1472,['по стоимости ? Сейчас у вас скидки на все ?'],Акции / Скидки
1083,['При получении сколько получится сумма ?'],Сумма
1749,Оплата на почте при получении. Так?,Способы оплаты
1515,['А по стоимости ? у вас скидки на все ?'],Акции / Скидки
1799,Давайте на почте при получении,Способы оплаты
456,['******* Сбербанк'],Реквизиты
365,['? Сбербанк ?'],Реквизиты
126,['Оплату 300 почту на карту скину так устроит'],Статус оплаты
992,"Здравствуйте Юлия.проверила по трекномеру,почему указана сумма на 300руб.больше? если вы сказали, что она бесплатна так как у меня карта есть.",Инцидент
1467,['Ну че розыгрыш не делаете'],Акции / Скидки
271,Я со своей карты переводила на вашу,Статус оплаты
1455,['Ну че розыгрыш делаете ?'],Акции / Скидки
556,"['На карту сбербанка . Напишите реквизиты , пожалуйста :']",Реквизиты
1256,"['При получении , сколько получится ?']",Сумма
1524,['А по стоимости ? Сейчас у вас скидки все ?'],Акции / Скидки
1005,['вы мне сумму так и написали'],Сумма
1815,Мне удобнее деньги на карту перевести конечно). Это я делаю до получения посылки?,Способы оплаты
1214,"['При получении , сколько сумма ?']",Сумма
589,"Здравствуйте , **** ! Давайте ещё раз сменим номер карты , вот новый **** **** *********",Реквизиты
1111,"['получении , сколько получится сумма ?']",Сумма
1255,['вы мне сумму и написали ?'],Сумма
524,['******* Сбербанк'],Реквизиты
925,['обещали вернуть 300 р. на карту . Номер карты : 4072 3408 92'],Инцидент
97,['Хорошо сейчас оплачу'],Статус оплаты
239,Подожду . Совсем не к спеху ) ),Статус оплаты
188,Оплатем при получение ),Статус оплаты
1321,"т.е выйдет где-то 3,200-3,300",Сумма
1976,Либо чуть позже оплата на карту ) ) Если можно подождать со временем,Способы оплаты
1370,['А стоимости ? Сейчас у вас скидки на все ?'],Акции / Скидки
952,['Вы обещали вернуть 300 р. карту . Номер карты : 4072 3408 92'],Инцидент
788,['обещали вернуть 300 р. на карту . Номер карты : 4072 3408 92'],Инцидент
1552,['А по стоимости ? Сейчас вас скидки на все ?'],Акции / Скидки
1179,['вы мне так и написали ?'],Сумма
1830,Оплата картой,Способы оплаты
153,['Оплату 300 почту на карту скину так устроит'],Статус оплаты
1669,"Если можно, то при получении. Это на почте оплачивать?",Способы оплаты
1865,И по оплате это наложенный платёж будет если почта России отправка,Способы оплаты
338,"['На карту . Напишите реквизиты , пожалуйста : ) ) )']",Реквизиты
107,['Оплату 300 почту на карту скину так устроит'],Статус оплаты
1980,"Просто тут вк Ольга Орлова...я пишу ...и получается что она теперь...ей можно заказать???у вас было просто при получении оплата,а она пишет сразу оплату на карту Альфа банка...вот думаю как ...это не машеничество???",Способы оплаты
562,['******* Сбербанк'],Реквизиты
1270,['вы сумму так и написали ?'],Сумма
602,Напишите пожалуйста куда перевести оплату,Реквизиты
993,"сказали , что им не передели от вас заказ , оформленный на меня",Инцидент
1035,"['получении , сколько получится сумма ?']",Сумма
1947,ок . а как с оплатой ? наложным ?,Способы оплаты
1491,['А по стоимости ? Сейчас у скидки на все ?'],Акции / Скидки
517,"['На карту сбербанка . Напишите , пожалуйста : ) ) )']",Реквизиты
265,Сейчас оплачу,Статус оплаты
1724,На карту денег?,Способы оплаты
1981,Удобнее сразу перевести,Способы оплаты
913,"['давайте сейчас решим , а то завтра не смогу']",Инцидент
985,"Прошу понять о деньгах. Набрала у людей, кое-как успокоила.",Инцидент
1031,"['При получении , получится сумма ?']",Сумма
1199,"['При получении , сколько получится ?']",Сумма
1612,['Ну розыгрыш не делаете ?'],Акции / Скидки
1152,"['При , сколько получится сумма ?']",Сумма
799,"['давайте сейчас решим , а то завтра не ответить']",Инцидент
666,"['давайте сейчас решим , то завтра не смогу ответить']",Инцидент
1825,"Можно, оплата при получении на почте?",Способы оплаты
441,['******* Сбербанк'],Реквизиты
355,"['На карту сбербанка Напишите реквизиты , пожалуйста : ) ) )']",Реквизиты
1907,Деньги при получении на почте.,Способы оплаты
1962,"Юля,мне на карту Мирослава Василюк деньги перевести? Он мне сообщение в лику прислал с номером карты",Способы оплаты
286,"*** , я перевела **** верно ?",Статус оплаты
930,['Вы обещали вернуть 300 р. на карту . Номер : 4072 3408 92'],Инцидент
1536,['по стоимости ? Сейчас у вас скидки на все ?'],Акции / Скидки
364,"['На карту сбербанка . Напишите реквизиты , : ) ) )']",Реквизиты
1284,"['При , сколько получится сумма ?']",Сумма
613,карту дайте,Реквизиты
209,Сейчас оплачу,Статус оплаты
1429,['А по стоимости ? Сейчас вас скидки на все ?'],Акции / Скидки
1833,"извини пожалуйста, можно оплатить будет на почте?",Способы оплаты
1458,['А по стоимости ? Сейчас у вас скидки на ?'],Акции / Скидки
388,['? Сбербанк ?'],Реквизиты
180,['Оплату 300 за на карту скину так устроит'],Статус оплаты
643,Оплату удобнее будет на карту произвести,Реквизиты
1222,['вы сумму так и написали ?'],Сумма
1363,['Ну че розыгрыш не делаете'],Акции / Скидки
1460,['А по стоимости ? у вас скидки на все ?'],Акции / Скидки
386,"['На карту сбербанка . Напишите реквизиты , пожалуйста :']",Реквизиты
1535,['А по ? Сейчас у вас скидки на все ?'],Акции / Скидки
1128,['вы мне сумму так и написали'],Сумма
1398,['Ну че розыгрыш не делаете'],Акции / Скидки
191,"Здравствуйте, да, я подожду. Оплата лучше сразу на карту. реквизиты только напомните пожалуйста",Статус оплаты
1817,Напишите условия оплаты,Способы оплаты
507,['******* Сбербанк'],Реквизиты
545,"['На сбербанка . Напишите реквизиты , пожалуйста : ) ) )']",Реквизиты
1440,['А по стоимости ? Сейчас у скидки на все ?'],Акции / Скидки
910,['давайте сейчас решим а то завтра не смогу ответить'],Инцидент
716,['Вы вернуть 300 р. на карту . Номер карты : 4072 3408 92'],Инцидент
1512,['Ну че розыгрыш делаете ?'],Акции / Скидки
1585,['Ну че розыгрыш делаете ?'],Акции / Скидки
176,['Оплату 300 за почту карту скину так устроит'],Статус оплаты
622,"**** , Сбербанк ********** ******** *********** ********** ****",Реквизиты
283,Я оплатила) а когда отправлять будете,Статус оплаты
764,['Вы обещали вернуть 300 р. на карту . Номер карты : 4072 92'],Инцидент
539,['? Сбербанк ?'],Реквизиты
1970,ааа хорошо оплачивать при получении,Способы оплаты
1766,Способ оплаты: Банковской картой,Способы оплаты
592,Номер карты тот же?,Реквизиты
285,Сейчас оплачу по карте,Статус оплаты
543,"['карту сбербанка . Напишите реквизиты , пожалуйста : ) ) )']",Реквизиты
1249,['вы сумму так и написали ?'],Сумма
1226,"['получении , сколько получится сумма ?']",Сумма
1250,['вы мне так и написали ?'],Сумма
1664,То есть я прям сейчас могу оплатить и вышлете?,Способы оплаты
803,['Вы обещали вернуть 300 р. на карту . Номер карты 4072 3408 92'],Инцидент
392,['? Сбербанк ?'],Реквизиты
835,['Вы обещали вернуть р. на карту . Номер карты : 4072 3408 92'],Инцидент
953,"['давайте сейчас решим , а то завтра смогу ответить']",Инцидент
1259,['мне сумму так и написали ?'],Сумма
1561,['Ну розыгрыш не делаете ?'],Акции / Скидки
1666,"Добрый вечер . Не проходит платеж на сбербанк из ***** . Отправте , пожалуйста , наложенным платежом на почту .",Способы оплаты
1280,['вы мне сумму так и ?'],Сумма
1791,Оплата при получении на почте.,Способы оплаты
1532,['Ну че розыгрыш делаете ?'],Акции / Скидки
10,"[', сейчас оплачу']",Статус оплаты
1114,['мне сумму так и написали ?'],Сумма
621,***** *********** М . Номер счета карты : ********** ********** Банк получателя : Сбербанк ****** БИК : ******** * Корр . счет : ********** ******** ** *** : ********** КПП : ******* **,Реквизиты
975,"Могу карту прислать, потому что пока я вам его отправлю, потом вы мне) а мне работать совсем не в чем!) ",Инцидент
966,Вчера я что-то недооценила,Инцидент
1140,['вы мне сумму так и ?'],Сумма
394,"['На карту сбербанка . реквизиты , пожалуйста : ) ) )']",Реквизиты
997,['вы мне так и написали ?'],Сумма
661,"Вы сказали можно перевести на карту. Скажите, пожалуйста, реквизиты",Реквизиты
899,['обещали вернуть 300 р. на карту . Номер карты : 4072 3408 92'],Инцидент
65,['Оплату 300 за почту карту скину так устроит'],Статус оплаты
253,А оплачивать нужно сейчас или перед отправкой товара?,Статус оплаты
926,['Вы обещали вернуть р. на карту . Номер карты : 4072 3408 92'],Инцидент
673,"['давайте сейчас , а то завтра не смогу ответить']",Инцидент
1677,"Да,одну. Давайте я на карту переведу.?",Способы оплаты
1133,"['При получении , сколько сумма ?']",Сумма
1173,['вы мне сумму так и ?'],Сумма
931,"['давайте сейчас решим , а то завтра не смогу']",Инцидент
1714,Или ....могу и с карты))),Способы оплаты
1015,"['При получении , получится сумма ?']",Сумма
1312,То есть пооучится все 2600?,Сумма
1404,['А по стоимости ? Сейчас у вас скидки на ?'],Акции / Скидки
1522,['по стоимости ? Сейчас у вас скидки на все ?'],Акции / Скидки
282,сейчас оплатим),Статус оплаты
878,['Вы обещали вернуть р. на карту . Номер карты : 4072 3408 92'],Инцидент
163,"['Хорошо , сейчас']",Статус оплаты
713,['обещали вернуть 300 р. на карту . Номер карты : 4072 3408 92'],Инцидент
378,"['На карту сбербанка . Напишите реквизиты , пожалуйста :']",Реквизиты
709,['Вы обещали вернуть 300 р. на карту . Номер карты : 4072 92'],Инцидент
1571,['Ну розыгрыш не делаете ?'],Акции / Скидки
171,"[', сейчас оплачу']",Статус оплаты
1760,Должна буду оплатить все при получении да ? впервые так заказ делаю ...,Способы оплаты
477,['На карту сбербанка . Напишите реквизиты пожалуйста : ) ) )'],Реквизиты
1422,['А по стоимости ? у вас скидки на все ?'],Акции / Скидки
1061,"['При получении , сколько получится сумма']",Сумма
461,"['На карту сбербанка . Напишите реквизиты , пожалуйста ) ) )']",Реквизиты
991,"добрый день! пришла на почту посылка-сказали,что нужно оплатить стоимость штанов+пересылка.....а что мне делать с большими штанами? и получается двойная оплата почтовых услуг(((",Инцидент
1165,['вы мне так и написали ?'],Сумма
1779,"А если на карту оплата, какая гарантия?",Способы оплаты
1758,На почте при получении),Способы оплаты
29,['Оплату за почту на карту скину так устроит'],Статус оплаты
702,['Вы обещали вернуть 300 р. на карту . карты : 4072 3408 92'],Инцидент
1651,"А что есть еще со скидкой ** размера , девочка спрашивает :)",Акции / Скидки
483,['? Сбербанк ?'],Реквизиты
1896,мы на карту деньги переведем . наложным не надо !,Способы оплаты
316,Перевела Вам 2600,Статус оплаты
132,"[', сейчас оплачу']",Статус оплаты
40,"['Хорошо , оплачу']",Статус оплаты
1763,На карту оплата:),Способы оплаты
1358,['А по стоимости Сейчас у вас скидки на все'],Акции / Скидки
619,"Здравствуйте, да, я подожду. Оплата лучше сразу на карту. реквизиты только напомните пожалуйста",Реквизиты
7,['Оплату 300 за почту на карту так устроит'],Статус оплаты
732,"['давайте сейчас решим , а то завтра смогу ответить']",Инцидент
503,['******* Сбербанк'],Реквизиты
728,"['давайте решим , а то завтра не смогу ответить']",Инцидент
795,"['давайте сейчас решим , а завтра не смогу ответить']",Инцидент
120,['300 за почту на карту скину так устроит'],Статус оплаты
1132,['вы мне сумму так и написали'],Сумма
1599,['че розыгрыш не делаете ?'],Акции / Скидки
1767,"Заказ поступает на выполнение только после 100% оплаты, оплата картой Сбербанк)",Способы оплаты
1614,['Ну че не делаете ?'],Акции / Скидки
1682,Вроде есть еще какие-то на пуговице зауженные,Способы оплаты
614,Номер карты получателя:,Реквизиты
1130,['вы мне сумму так написали ?'],Сумма
334,['На карту сбербанка . Напишите реквизиты пожалуйста : ) ) )'],Реквизиты
597,Номер карты ********** ****** ******** *********,Реквизиты
1275,['вы мне сумму так и написали'],Сумма
929,['обещали вернуть 300 р. на карту . Номер карты : 4072 3408 92'],Инцидент
1445,['А по стоимости ? Сейчас у вас скидки на ?'],Акции / Скидки
1720,Курьер 800 рб с чем то было же да ?,Способы оплаты
391,"['На карту . Напишите реквизиты , пожалуйста : ) ) )']",Реквизиты
741,['Вы обещали вернуть 300 р. на карту . Номер карты : 4072 3408'],Инцидент
793,"['давайте сейчас решим , то завтра не смогу ответить']",Инцидент
1774,здравствуйте . оплата сразу или когда придет,Способы оплаты
427,['На карту сбербанка . Напишите реквизиты пожалуйста : ) ) )'],Реквизиты
1051,"['При получении , сколько сумма ?']",Сумма
1366,['Ну че розыгрыш делаете ?'],Акции / Скидки
851,['Вы обещали вернуть 300 на карту . Номер карты : 4072 3408 92'],Инцидент
1072,['вы мне сумму так и написали'],Сумма
189,"Здравствуйте,много цифр не смогла перевести!",Статус оплаты
9,['Хорошо сейчас оплачу'],Статус оплаты
743,['Вы обещали вернуть 300 р. на карту Номер карты : 4072 3408 92'],Инцидент
1960,Давайте на карту переводом.,Способы оплаты
353,"['На карту сбербанка . Напишите реквизиты , пожалуйста :']",Реквизиты
838,['Вы обещали вернуть 300 р. на карту . Номер карты : 4072 92'],Инцидент
720,"['давайте сейчас решим , а то не смогу ответить']",Инцидент
1576,['Ну че розыгрыш не делаете'],Акции / Скидки
1955,Оплата при получении на почте,Способы оплаты
162,"['Хорошо , сейчас']",Статус оплаты
1828,"Допустим товар пришел на почту, я оплатил 3800₽ и все или еще нужно денег заплатить чтоб вы получили оплату",Способы оплаты
1781,Оплатим при получение на почте!!!,Способы оплаты
396,['******* Сбербанк'],Реквизиты
1334,['че розыгрыш не делаете ?'],Акции / Скидки
1189,"['При получении , сколько сумма ?']",Сумма
1658,Добрый вечер ! Увидела перерозыгрыш сегодня . Так я выграла * место ? Или я что-то не так поняла ?,Акции / Скидки
324,"Здраствуйте. Оплачивайте, есть места",Статус оплаты
797,['Вы обещали вернуть 300 р. на карту . Номер карты : 4072 3408'],Инцидент
1388,['А по стоимости ? Сейчас у вас скидки на ?'],Акции / Скидки
1428,['Ну че не делаете ?'],Акции / Скидки
